date,bubble,climate change,china
1/1/06,34,4,886
2/1/06,26,10,950
3/1/06,37,3,1094
4/1/06,39,3,1138
5/1/06,35,11,1024
6/1/06,22,24,974
7/1/06,18,7,746
8/1/06,22,5,925
9/1/06,18,21,886
10/1/06,23,6,934
11/1/06,35,27,1226
12/1/06,46,14,1093
1/1/07,37,52,1114
2/1/07,32,37,799
3/1/07,46,25,1030
4/1/07,27,31,1104
5/1/07,57,45,1175
6/1/07,55,59,1044
7/1/07,33,22,1054
8/1/07,74,24,1028
9/1/07,42,34,1119
10/1/07,72,31,1187
11/1/07,47,25,1057
12/1/07,76,32,1071
1/1/08,70,36,1235
2/1/08,43,13,948
3/1/08,78,27,1029
4/1/08,57,49,1109
5/1/08,111,23,1083
6/1/08,42,41,972
7/1/08,53,48,849
8/1/08,27,8,827
9/1/08,63,14,793
10/1/08,96,18,930
11/1/08,50,32,743
12/1/08,63,28,812
1/1/09,45,17,643
2/1/09,52,35,613
3/1/09,60,37,903
4/1/09,67,42,875
5/1/09,30,39,795
6/1/09,41,23,882
7/1/09,68,49,1068
8/1/09,57,28,1103
9/1/09,45,33,1090
10/1/09,61,47,1029
11/1/09,89,60,958
12/1/09,121,89,996
1/1/10,77,24,1184
2/1/10,47,56,786
3/1/10,72,37,1516
4/1/10,73,25,1153
5/1/10,32,14,980
6/1/10,46,15,1212
7/1/10,57,24,1267
8/1/10,43,18,1164
9/1/10,47,12,1516
10/1/10,40,24,1312
11/1/10,59,9,1181
12/1/10,64,12,1189
1/1/11,49,9,1372
2/1/11,34,3,802
3/1/11,41,9,891
4/1/11,60,17,905
5/1/11,47,9,881
6/1/11,38,9,1272
7/1/11,34,5,1031
8/1/11,53,4,1040
9/1/11,32,10,1103
10/1/11,31,9,1084
11/1/11,37,13,817
12/1/11,35,18,915
1/1/12,32,15,935
2/1/12,11,4,995
3/1/12,38,22,1301
4/1/12,40,7,1198
5/1/12,31,3,899
6/1/12,34,6,772
7/1/12,40,1,917
8/1/12,24,10,1163
9/1/12,25,16,1104
10/1/12,35,3,1078
11/1/12,25,20,957
12/1/12,26,17,785
1/1/13,22,38,916
2/1/13,41,22,669
3/1/13,34,16,984
4/1/13,21,4,1044
5/1/13,37,7,961
6/1/13,31,26,870
7/1/13,36,10,1113
8/1/13,43,11,1117
9/1/13,36,15,834
10/1/13,50,12,922
11/1/13,60,12,867
12/1/13,58,4,1046
1/1/14,28,16,855
2/1/14,24,24,665
3/1/14,24,21,957
4/1/14,32,18,1185
5/1/14,19,55,983
6/1/14,26,31,792
7/1/14,32,13,1062
8/1/14,33,24,858
9/1/14,32,32,898
10/1/14,28,28,827
11/1/14,24,35,809
12/1/14,29,19,927
1/1/15,27,22,670
2/1/15,18,15,616
3/1/15,57,8,812
4/1/15,44,26,1024
5/1/15,36,19,761
6/1/15,43,21,984
7/1/15,75,17,1226
8/1/15,29,37,1896
9/1/15,31,45,1520
10/1/15,15,33,1063
11/1/15,18,61,913
12/1/15,14,57,830
1/1/16,24,11,1268
2/1/16,36,15,761
3/1/16,19,17,944
4/1/16,24,45,705
5/1/16,23,27,658
6/1/16,25,27,878
7/1/16,26,14,746
8/1/16,25,16,848
9/1/16,46,33,805
10/1/16,19,15,745
11/1/16,33,38,714
12/1/16,37,37,921
1/1/17,21,26,874
2/1/17,29,28,555
3/1/17,23,23,744
4/1/17,22,14,768
5/1/17,20,26,765
6/1/17,21,46,857
